Gene,X5EGGE,X5EQMM,X5GICA,X5N9D6,X5P9GB,X5N9ES,X5P9GS,X5N9E1
RNA5SP198,0,0,0,0,0,0,0,0
LINC01933,0,14,12,49,6,17,68,210
NMUR2,0,0,78,30,0,0,13,4
CTC-550M4.1,0,0,0,0,0,0,0,0
LINC01470,0,0,0,0,1,0,0,1
GRIA1,0,10,2636,1267,48,12,9,82
RN7SL177P,0,0,0,0,0,0,0,0
LINC01861,0,0,0,0,0,0,1,0
RP11-461L18.1,0,0,2,0,0,0,0,0
FAM114A2,611,828,1096,1012,1998,1289,1950,1428
MFAP3,206,294,586,1401,527,321,1666,572
GALNT10,455,520,4370,3251,3052,1121,29970,29171
SAP30L-AS1,14,11,27,44,13,7,182,192
HNRNPA3P7,0,2,0,0,0,0,10,8
MIR1294,0,0,0,0,0,0,0,0
RN7SL655P,0,0,0,0,0,0,0,0
SAP30L,775,1734,3437,2190,2349,1676,7306,5650
HAND1,0,0,35,2,4,3,0,2
CTB-158E9.1,0,0,2,0,0,0,0,0
CTB-158E9.2,0,0,0,0,0,1,0,2
CIR1P1,0,0,0,0,0,0,0,0
MIR3141,0,0,0,0,0,0,0,0
MIR1303,0,0,0,0,0,0,0,0
LARP1,5249,8441,10683,8314,23337,20989,23832,18366
RN7SL803P,0,0,0,0,5,0,0,1
CTC-209L16.1,0,2,0,0,2,0,0,0
FAXDC2,1884,11949,10374,5180,1055,890,10306,9982
MIR378H,0,2,0,0,0,0,3,0
CNOT8,781,2033,6097,5103,2343,1686,5224,3598
GEMIN5,375,903,1467,1031,948,756,3468,2233
MRPL22,1153,907,1044,526,1233,832,1207,1266
CTC-280C13.1,0,0,0,0,0,0,0,0
KIF4B,0,0,12,0,2,2,2,0
CTD-2311A18.1,0,0,0,0,0,0,0,0
CTC-447K7.1,0,0,0,0,0,0,0,0
CTB-95D12.1,0,0,0,0,0,2,0,0
RNA5SP199,0,0,0,0,0,0,0,1
SGCD,37,338,998,270,136,51,5066,2742
CTB-56J15.1,0,0,0,0,0,0,0,1
CTC-340I23.2,0,0,0,0,0,0,2,0
RNU6-556P,0,0,0,0,0,0,0,0
