Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation
LRRC8E,12.160023411839454,-3.4721938401162875,1.1115719546252805,-3.1236788816669914,0.0017860526236806735,0.017019206715528687,down
KANK3,1536.853202806521,-3.196179952136067,1.3532766777396057,-2.361808198360948,0.018186048457985514,0.08774529810396288,down
ANGPTL4,4855.693707042972,-3.8779727381705227,0.9523051989633765,-4.072195281924174,4.6572106895416286e-05,0.0010494769211971502,down
RAB11B-AS1,286.44550154153865,-2.373245747720236,1.03214082749718,-2.2993429622148347,0.021485472049230844,0.09802770640383288,down
MARCH2,2050.203704071871,-2.452510248344595,0.6567179587033627,-3.734495479896547,0.0001880918692445134,0.0031359709101688184,down
PRAM1,576.2327744699543,-2.6571944869008006,1.3377377802738104,-1.9863343370304767,0.04699621236332085,0.1632833534698926,down
MYO1F,2934.587221811907,-3.8434063426568303,1.435626433854183,-2.677163259204244,0.007424844616267914,0.04737988089517288,down
ZNF121,1657.905653307501,-1.075554762774529,0.4260912427394734,-2.5242357854140636,0.011595012949170803,0.06472148475282233,down
COL5A3,2236.1332835129338,-1.5336305781248152,0.7772910182022871,-1.9730455417737678,0.048490373917946465,0.16674857755094316,down
C3P1,9866.61103028763,-15.734098125742328,3.5919034657955464,-4.380434573359974,1.1844285290133232e-05,0.00035296246900234647,down
ANGPTL6,438.0441765956273,-3.957430004953682,1.721841366316749,-2.298370850166737,0.0215406911185405,0.09820938154474525,down
AC114271.2,68.22667746325047,-2.0052099132653565,0.7846181084893882,-2.5556508211694897,0.010598941790210654,0.060811607315898235,down
ICAM3,117.73873755626337,-4.400796311031127,1.476644133717942,-2.980268712374633,0.002879956286209784,0.024174006220771763,down
PDE4A,1735.9700740233106,-2.798814071978401,1.0739195146626264,-2.6061674397058083,0.009156168972943836,0.05490472833352711,down
CTC-429L19.3,15.89998990855646,-2.624163764009262,1.2357670328798818,-2.1235100906469437,0.033711130834624695,0.13175595948857124,down
S1PR5,129.63007502542231,-2.695152897988525,1.0990994320708118,-2.452146565948625,0.01420068070814868,0.07420015653096369,down
AP1M2,1211.4875330321097,-8.803800279517377,1.8958095216237674,-4.643821111298614,3.4202373355500694e-06,0.00012830416793021578,down
DNM2,10806.078363480843,-1.4535500018554817,0.37522316698906244,-3.8738279768792956,0.00010713905237293251,0.002014008907134219,down
C19orf38,206.7075164890336,-2.792928221431541,1.3559923414863768,-2.059693212109193,0.039427878749373764,0.1458688555500762,down
CTC-510F12.4,25.00528102437921,-8.34701537086449,3.016699135389133,-2.766936640430927,0.005658575148944509,0.039341671701942076,down
EPOR,1258.419098074911,-2.067310629915931,0.40209007429497806,-5.141411743477477,2.7268173667249723e-07,1.5701666864060342e-05,down
RGL3,2257.9288084977015,-3.4180368965928896,0.4135011402559559,-8.266088201055831,1.3842615536432911e-16,6.662476975827682e-14,down
KLF1,7.189501407842795,-5.06430985294176,2.0778878225031887,-2.437239295642481,0.01479988181308298,0.07637673177623584,down
GADD45GIP1,2435.503429178332,-1.3350470288368745,0.6043204011179011,-2.2091708742038825,0.027162757925598698,0.11471768078213529,down
NACC1,1877.4227299665565,-1.3768480053258407,0.4476017920709493,-3.076055613976623,0.0020975871704676232,0.019212693404473465,down
PALM3,1853.558522359658,-6.513373925718116,1.551324383463325,-4.198589279681814,2.685829599628713e-05,0.0006817196741982969,down
MISP3,468.3697984766188,-4.176892169475244,0.790770322198916,-5.282054791662451,1.2774297888046797e-07,8.441957637984086e-06,down
ADGRE5,4593.317947802636,-2.684932514827349,0.888263926996195,-3.0226742674408418,0.0025055177429329986,0.02191812486436141,down
PTGER1,23.252644143368844,-3.3217883482292385,0.9558086535266637,-3.4753696108240693,0.0005101499270153747,0.006714868156984104,down
GIPC1,3718.8307481033958,-1.0701766718517698,0.3870655396506007,-2.764846162274754,0.005694964651360209,0.03956232388114041,down
SNRPGP15,25.730176713066154,-0.9564594473486093,0.4741056849196458,-2.0173971284708716,0.043654086701820964,0.1557007966550267,down
ADGRE3,35.23854523023546,-8.839269888686072,3.2548855246406068,-2.7156930164731596,0.0066137211725988635,0.04383201179314742,down
ADGRE2,475.96904727767253,-4.783437143039759,1.5438242102057373,-3.0984338187067912,0.0019454641653785468,0.018138466884006343,down
CASP14,8.53473773085462,-5.286418860342919,2.269029974396448,-2.3298144669724263,0.019815959209823892,0.09273302983461605,down
RASAL3,834.7439924424446,-3.6868454279875595,1.275170738606847,-2.891256297188502,0.003837050570303744,0.029789317440064002,down
PGLYRP2,1941.7472247259834,-11.623688908730857,2.6844791617293535,-4.3299605653272515,1.4913604626712781e-05,0.0004293805196645783,down
CYP4F22,325.4661607550872,-7.008740776216896,1.9620527500547518,-3.5721469649688644,0.00035406661064784213,0.005079800433642184,down
CYP4F3,20057.670391033334,-14.242503812931544,2.4884312735413636,-5.723486906939003,1.0435961380540423e-08,9.680397776589297e-07,down
UCA1,8.387667395522609,-5.27966231448257,1.7227493725176686,-3.064672318972748,0.002179086020635854,0.019725445457913413,down
CYP4F2,3740.1731038979383,-14.286037937214186,3.819890816252016,-3.7399074016548197,0.0001840880580782519,0.0030853497197885203,down
AC005336.4,224.83614013302258,-8.384185912517314,2.3053800218274376,-3.6367912592004266,0.00027605546261107454,0.004191606426039227,down
CYP4F11,2656.853393794384,-9.866005184999807,1.8980170584804774,-5.1980592802987635,2.0137991353266458e-07,1.2381805981739305e-05,down
CTD-2231E14.8,20.825955404391664,-2.4555541441637505,0.6522906669662655,-3.7645090885391195,0.00016687659906054444,0.0028531200840720026,down
HSH2D,435.847515359275,-5.4130640856620404,0.9952597319562918,-5.438845671995662,5.362688111937052e-08,3.9961630171292496e-06,down
FAM32A,3868.7266017407164,-1.2415484780027082,0.4269489509176834,-2.9079553312735062,0.0036380029818872854,0.02869567658162114,down
TMEM38A,539.3323223242072,-1.5019059245731774,0.6591833580971502,-2.2784342264172075,0.02270071912947743,0.10189559110924507,down
NWD1,100.67887350769611,-3.637641353449101,1.8142815503968508,-2.0050037727900687,0.04496264370335183,0.15866291452510004,down
F2RL3,2266.9845581571894,-6.508884000348915,1.7876554869734462,-3.6410169900066416,0.0002715632128429993,0.0041357050724848176,down
HAUS8,268.428108674093,-0.7824965933989022,0.34007204367460764,-2.3009730083770754,0.021393156798533593,0.09776389050050042,down
OCEL1,1531.9872048706911,-1.3817677043143226,0.6901188891668263,-2.0022169020507716,0.04526140863347029,0.15922986138054923,down
NR2F6,4683.670520937501,-2.5553224453518957,0.7623478341671724,-3.3519114645920913,0.0008025567991899362,0.009326829598182778,down
MRPL34,2263.2295376132824,-1.8009082515934276,0.6467273728265931,-2.7846482571510154,0.005358581759045987,0.03785172672601066,down
ANO8,1672.898291772552,-0.7741438127462587,0.2972439810365208,-2.6044053442116417,0.009203383886390443,0.05514895925720785,down
B3GNT3,177.32390318367123,-4.333611576390614,2.003447737054023,-2.163076927957696,0.030535263321761374,0.123795936439099,down
ARRDC2,5788.802386247479,-2.8419305581274705,1.2766639184368167,-2.2260600594142352,0.026010158779027986,0.11161193091682595,down
CTB-52I2.7,23.272989875993115,-5.878584336172841,2.3899173458956278,-2.459743784139039,0.013903623473868417,0.0729618455451367,down
IL12RB1,126.3628794279144,-3.1123000166653934,1.1264233360096154,-2.762993199067412,0.005727395982529379,0.03968396981486975,down
MAST3,3718.5303438140772,-0.9529336766059471,0.47865038068073784,-1.9908762534580717,0.04649449346499584,0.1621205711826696,down
IFI30,7200.600749342919,-3.7890713339735953,1.1749060979697254,-3.2249992918763715,0.0012597298038891092,0.013078733238668004,down
LSM4,3066.5722838368183,-1.0923085687848404,0.4944413972925548,-2.2091770122122987,0.02716233115804341,0.11471768078213529,down
GDF15,2571.9897240362843,-3.528274487811944,1.3813260775996037,-2.5542661830747413,0.010641187241921852,0.06094432989541637,down
LRRC25,716.4014207884885,-3.5785492570647692,1.4984131137069028,-2.3882260668500472,0.016929924174554654,0.08343613519488305,down
CRLF1,543.215849148361,-5.210327280209461,1.3356304216988442,-3.901024711298675,9.578637153136692e-05,0.0018454792684241984,down
COMP,259.9981305582113,-5.480155035758764,1.5950447583055878,-3.435737465812758,0.0005909433210232318,0.0074885112647698066,down
COPE,6504.260213006251,-1.3409486246437634,0.47787841553726934,-2.8060455987244395,0.005015359448038016,0.03616076997173594,down
BORCS8,1244.8589238271868,-0.6508002357153824,0.24593689426747767,-2.646208238311657,0.008139969028837957,0.05058094753626436,down
TM6SF2,689.5246176443248,-6.2614686705989335,2.0499570759186154,-3.054438916870042,0.0022548192635690584,0.020245753113123235,down
GATAD2A,4884.895183951006,-1.0756543347951775,0.2380755796968925,-4.518121246054106,6.239075627777454e-06,0.00020968719392486836,down
GMIP,1420.8933720729522,-2.1603531922025376,1.0311785022181175,-2.0950331950826246,0.03616804171926658,0.13774418874541225,down
ZNF101,409.4764774635545,-0.8831524093819757,0.2758232531880099,-3.2018780112784437,0.0013653480454007903,0.013881491945049326,down
AC079466.1,36.81291525394573,-4.821412513133004,1.8708956610813121,-2.577061144257717,0.009964432267055531,0.058312159371488766,down
UQCRFS1,3666.082913274692,-1.4920108546348,0.5303057289318446,-2.813491865607499,0.004900662604053946,0.03570192804346819,down
CTD-2001J20.1,3.720596380876514,-4.106067131821355,1.862569170077616,-2.204517930279201,0.027487940382621978,0.1156311091630765,down
NUDT19,614.7875249630373,-0.9400938388080032,0.31041744301237373,-3.0284826448059157,0.0024578519438507498,0.021642162663337516,down
RHPN2,988.4930103492661,-2.2065589268390498,0.7252260189553975,-3.042581028763057,0.0023455865824272,0.02089091178062079,down
CEBPA,2180.090699788688,-7.119639346023292,1.4127471022253053,-5.039571013671667,4.665764838587982e-07,2.47440738601956e-05,down
CEBPA-AS1,220.5426942999989,-2.650678870600152,1.0852659496325747,-2.4424233262801254,0.014589028239538117,0.07564055312243452,down
CEBPG,2771.8969622601307,-2.9551361926573634,0.6138124433010648,-4.814396034014446,1.47645745192208e-06,6.361985327885192e-05,down
CTC-526N19.1,259.352780111198,-3.5309228517913684,1.2087761362713811,-2.9210726004923746,0.003488285292645564,0.027789715655869986,down
